sentiment,date,channel,game,user,mod,subscriber,message,pred_sentiment,class_scores,inferred
1,2018-05-22T21:10:33.896Z,forsen,Burnout Paradise,63102,False,True,OMEGALUL,1,0.16-0.25-0.59,true
1,2018-05-14T19:44:26.871Z,forsen,Super Mario Odyssey,87065,False,True,pepeL Clap pepeL Clap pepeL Clap pepeL Clap pepeL Clap,1,0.0000016096986999455186-0.0033153833470410997-0.996683006954259,true
1,2018-05-10T17:33:24.377Z,forsen,Darwin Project,2291,False,True,🏹 ZULUL,0,0.33-0.34-0.33,false
-1,2018-05-28T20:18:47.903Z,sodapoppin,SpeedRunners,754606,False,False,Cata dumbass,-1,0.6923076923076923-0.23076923076923078-0.07692307692307693,true
0,2018-05-15T23:46:45.381Z,sodapoppin,ROBLOX,10535368,False,False,D:,-1,0.594059405940594-0.27722772277227725-0.12871287128712872,true
0,2018-05-11T14:16:36.412Z,moonmoon_ow,Dead Cells,1194764,False,False,sums up what happens to moon every night,0,0.33-0.34-0.33,false
1,2018-05-11T20:00:46.214Z,forsen,Wrongworld,150610,False,True,HandsUp,0,0.33-0.34-0.33,false
-1,2018-05-20T21:34:44.149Z,sodapoppin,IRL,1527770,False,False,WORDS ARE HARD PogChamp,1,0.013698630136986302-0.10958904109589042-0.8767123287671234,true
0,2018-05-27T21:26:57.966Z,forsen,Dark Souls,12408238,False,False,!roulette all,0,0.33-0.34-0.33,false
1,2018-05-21T23:53:56.866Z,sodapoppin,Wizard of Legend,3312,True,True,"@noworries1 Channel sodapoppin has been live for 02h, 48m and 21s",0,0.33-0.34-0.33,false
1,2018-05-14T00:26:33.512Z,xqcow,Overwatch,14912,False,True,LMAO WHO DID THIS?!?!?! 😂 👌 💯 🔥 LMAO WHO DID THIS?!?!?! 😂 👌 💯 🔥 LMAO WHO DID THIS?!?!?! 😂 👌 💯 🔥,1,2.98459191102813e-8-0.009464667299858478-0.9905353028542225,true
1,2018-05-06T20:40:42.010Z,forsen,Fallout: New Vegas,105373,False,False,I do :),1,0.06-0.13-0.81,true
