,sentiment,date,channel,game,user,mod,subscriber,message,pred_sentiment,inferred,class_scores
0,1,2018-05-22T21:10:33.896Z,forsen,Burnout Paradise,63102,False,True,OMEGALUL,1,True,[0.16 0.25 0.59]
1,1,2018-05-14T19:44:26.871Z,forsen,Super Mario Odyssey,87065,False,True,pepeL Clap pepeL Clap pepeL Clap pepeL Clap pepeL Clap,1,True,[1.60969870e-06 3.31538335e-03 9.96683007e-01]
2,1,2018-05-10T17:33:24.377Z,forsen,Darwin Project,2291,False,True,🏹 ZULUL,0,False,"[0.33, 0.34, 0.33]"
3,-1,2018-05-28T20:18:47.903Z,sodapoppin,SpeedRunners,754606,False,False,Cata dumbass,-1,True,[0.69230769 0.23076923 0.07692308]
4,0,2018-05-15T23:46:45.381Z,sodapoppin,ROBLOX,10535368,False,False,D:,-1,True,[0.59405941 0.27722772 0.12871287]
5,0,2018-05-11T14:16:36.412Z,moonmoon_ow,Dead Cells,1194764,False,False,sums up what happens to moon every night,0,False,"[0.33, 0.34, 0.33]"
6,1,2018-05-11T20:00:46.214Z,forsen,Wrongworld,150610,False,True,HandsUp,0,False,"[0.33, 0.34, 0.33]"
7,-1,2018-05-20T21:34:44.149Z,sodapoppin,IRL,1527770,False,False,WORDS ARE HARD PogChamp,1,True,[0.01369863 0.10958904 0.87671233]
8,0,2018-05-27T21:26:57.966Z,forsen,Dark Souls,12408238,False,False,!roulette all,0,False,"[0.33, 0.34, 0.33]"
9,1,2018-05-21T23:53:56.866Z,sodapoppin,Wizard of Legend,3312,True,True,"@noworries1 Channel sodapoppin has been live for 02h, 48m and 21s",0,False,"[0.33, 0.34, 0.33]"
10,1,2018-05-14T00:26:33.512Z,xqcow,Overwatch,14912,False,True,LMAO WHO DID THIS?!?!?! 😂 👌 💯 🔥 LMAO WHO DID THIS?!?!?! 😂 👌 💯 🔥 LMAO WHO DID THIS?!?!?! 😂 👌 💯 🔥,1,True,[1.54176951e-08 6.11152876e-04 9.99388832e-01]
11,1,2018-05-06T20:40:42.010Z,forsen,Fallout: New Vegas,105373,False,False,I do :),1,True,[0.06 0.13 0.81]
12,1,2018-05-27T01:59:43.421Z,xqcow,Overwatch,904013,False,True,PLAT CHAT LUL,1,True,[0.1  0.22 0.68]
13,0,2018-05-11T21:22:45.914Z,sodapoppin,IRL,195820,False,True,monkaS,0,True,[0.26 0.57 0.17]
14,1,2018-05-20T13:52:20.382Z,riotgames,League of Legends,484448,False,False,SILVER SCRAPES POGGERS,1,True,[0.04 0.12 0.84]
15,0,2018-05-06T09:54:37.552Z,riotgames,League of Legends,4020387,False,False,6-0,0,False,"[0.33, 0.34, 0.33]"
16,1,2018-05-07T01:50:51.630Z,sodapoppin,IRL,330965,False,False,scarraGASM scarraGASM scarraGASM scarraGASM,0,False,"[0.33, 0.34, 0.33]"
17,1,2018-05-19T03:25:02.729Z,moonmoon_ow,Getting Over It,1704627,False,True,DOKI DONI OMEGALUL STAY! STAY! OMEGALUL TANK DATING SIM OMEGALUL,1,True,[0.01819636 0.06941359 0.91239005]
18,1,2018-05-10T19:48:45.271Z,xqcow,Darwin Project,386466,False,False,EZ,1,True,[0.08 0.26 0.66]
19,1,2018-05-11T13:04:58.404Z,riotgames,League of Legends,949496,False,False,D 💿 C LUL,1,True,[0.1  0.22 0.68]
20,0,2018-05-30T01:00:59.025Z,sodapoppin,Dark Souls,427075,False,False,D: ASMON D: in that cell,-1,True,[0.79068746 0.17219416 0.03711838]
21,0,2018-05-25T01:56:47.317Z,sodapoppin,Raft,4073664,False,False,:),1,True,[0.06 0.13 0.81]
22,1,2018-05-05T04:49:53.602Z,moonmoon_ow,Darkest Dungeon,645988,False,True,you can do it moon moon2CUTE Clap2 moon2S Clap2 moon2A Clap2 moon2N,-1,True,[0.61616162 0.31313131 0.07070707]
23,1,2018-05-03T02:56:14.010Z,moonmoon_ow,The Binding of Isaac: Afterbirth,766969,False,True,OMEGAROLL,0,False,"[0.33, 0.34, 0.33]"
24,1,2018-05-25T15:14:18.514Z,moonmoon_ow,Dark Souls,958210,False,True,yes moon2M,0,True,[0.07692308 0.46153846 0.46153846]
25,-1,2018-05-25T20:24:29.337Z,forsen,Detroit: Become Human,291147,False,True,forsenThink,0,False,"[0.33, 0.34, 0.33]"
26,0,2018-05-17T19:47:07.266Z,forsen,Wizard of Legend,21941,False,True,@forsen PLAY WITH NANI 😡 PLAY WITH NANI 😡 PLAY WITH NANI 😡 PLAY WITH NANI 😡,-1,True,[0.70740893 0.03371456 0.25887652]
27,0,2018-05-23T20:12:37.182Z,forsen,Raft,480874,False,True,4HEad,0,False,"[0.33, 0.34, 0.33]"
28,0,2018-05-18T22:16:30.326Z,sodapoppin,IRL,173960,False,False,:),1,True,[0.06 0.13 0.81]
